Rb;Istraživači;Predmet;NPP;Razred;Udžbenik;Lekcija;Negativni oblici ponašanja;Navedite šta;Univerzalne vrijednosti;Navedite šta;Partikularizacija vrijednosti;Sadržaji;Načini;Indikator 1;Aktivno učenje;Ne nudi se mogućnost diskusije;Indikator 2 ;Rješavanje problema;Puko pamćenje činjenica ;Indikator 3;Multiperspektivni pristup;Pristup samo jedne perspektive;Indikator 4;Diferencirani prikazi;Stereotipni prikazi;Napomena/komentar na lekciju
56;AS/NV;Jezik i književnost;H;7;JIK20;Sue Townsend: Tajni dnevnik Adriana Molea;Ne;;Ne;;Ne;;;1;AS-168-2;;0;;;0;;;0;;;(NV) Odlomak - Problem - uzima se odlomak čiji kontekst nije jasan.
57;AS/NV;Jezik i književnost;H;7;JIK20;Dubočanin: Preko Save;Da;neprijateljstvo, osveta;Da;odgovornost, život AS-169-1, AS-169-3, sloboda;Ne;;;1;AS-172-2, AS-172-3;;1;;;0;;;0;;;
58;AS/NV;Jezik i književnost;H;7;JIK20;Tadjanović: Djever u svatovima;Ne;;Ne;;Ne;;;0;;AS-174;2;;AS-174;0;;;0;;;(NV) Dječak je uzdignut pa ponižen tradicijom, ali se o zahtjevima koje tradicija stavlja pred pojedince ne raspravlja (174)
59;AS/NV;Jezik i književnost;H;7;JIK20;Budak: Mećava;Da;siromaštvo;Ne;;Ne;;;2;;AS-178, NV-179;2;;AS-178, AS-179;0;;;0;;;(NV) Bije je ponostiji jere bi ima sina…(178) Ne problematizira se rodna neravnopravnost, patrijarhat.
60;AS/NV;Jezik i književnost;H;7;JIK20;Šehović: Priča kapetana Frana Porporelosa;Ne;;Da;odgovornost, solidarnost AS-182-3, sloboda NV-182;Ne;;;1;AS-183-1, AS-183-3;AS-182;0;;;0;;;0;;;"(NV)Objasni pjesnikove riječi:""Gdje pjesnici nemaju slobodu, tamo je nard jadan i potlačen""(str.182)"
61;AS/NV;Jezik i književnost;H;7;JIK20;Majo Topalovac: Boja vječnosti;Ne;;Ne;;Ne;;;0;;AS-187;0;AS-187;;0;;;0;;;(AS) zadatak uz lekciju isuviše zahtjevan. (NV) odlomak Prouči radijski program i saznaj kad se emitiraju radionice (187). Radio drame se gotovo više nigdje ne emitiraju. Nerealno je očekivati da đaci to postignu, pogotovo oni upućeni na lokalne radio-stanice. Zadatak operisan od stvarnosti.
62;AS/NV;Jezik i književnost;H;7;JIK20;Hitrec: Smogovci;Ne;;Ne;;Ne;;;0;;AS-191;0;AS-191-1;;0;;;0;;;
63;AS/NV;Jezik i književnost;H;7;JIK20;Blago mora;Ne;;Ne;;Ne;;;1;AS-192-2, AS-192-3;;0;;;2;;NV-192;0;;;"(AS) Insinuacija kroz upotrebu atributa ""hrvatski"" - naime, u udžbeniku se na više mjesta potencija ovaj atribut (str.192, primjer 1).(NV) Za njegove filmove kaže se u mnogim stručnim knjigama da su antologijski (ponajbolji, pojaljepši, uzorni). Jesi li pronašao/pronašla razloge za takve ocjene? (192) Đaci nemaju uvid u dovoljan broj filmova da bi mogli potvrditi ocjenu."
64;AS/NV;Jezik i književnost;H;7;JIK20;Tajna Nikole Tesle;Ne;;Ne;;Ne;;;1;AS-194-1, AS-194-2;;0;;NV-194;2;;NV-194;0;;;(NV) Navedi prizore koji potvrđuju da je Tesla bio ne samo izuzetan znanstvenik, izumitelj, nego i čovjek koji je osjećao i volio. (194) Zaključci o tome kakav je Tesla bio ne mogu se dobiti na osnovu igranog filma. (Može samo kako je reditelj zamislio Teslu, a kako ga je glumac odglumio.) U cijeloj jedinici filmski lik se tretira kao stvarna, istorijska ličnost. Umjetničko djelo se nudi kao izvor činjenica o prošlosti. Antiprosvjetni, nenaučni koncept poučavanja.
65;AS/NV;Jezik i književnost;H;7;JIK20;Zid;Ne;;Da;odgovornost, sloboda;Ne;;;1;;;0;;;2;;NV-196;0;;;(NV) Možeš li pohvaliti njegovo slikarsko umijeće?(196) Nameće se vrijednosni sud. Aktivno učenje - Koje misli reditelj razvija u filnu. Jesi li s njima suglasna/suglasan? Dobra interpretativna pitanja.
66;AS/NV;Jezik i književnost;H;7;JIK20;Zinanović: Asterix na Olimpijskim igrama;Ne;;Ne;;Ne;;;1;AS-195, AS-200-3, AS-200-4, AS-200-5;;0;;;0;;;0;;;(NV) Površno. Skoro ništa o stripu.
1;AS/DŠ;Jezik i književnost;B;8;JIKg7;Značenje riječi;Ne;;Ne;;Ne;;;2;;;2;;;2;;;0;;;
2;AS/DŠ;Jezik i književnost;B;8;JIKg7;"Sinonimi; istoznačnice; sličnoznačnice";Ne;;Ne;;Ne;;;2;;AS-10;2;;;2;DŠ-9;;0;;;
3;AS/DŠ;Jezik i književnost;B;8;JIKg7;Homonimi/istozvučnice;Ne;;Ne;;Ne;;;2;;AS-13;2;;;2;;;0;;;(AS) spominju se homografi, ali ne I homofoni / (DŠ) spominju se homografi (str. 13), ali ne I homofoni
4;AS/DŠ;Jezik i književnost;B;8;JIKg7;Antonim - riječi suprotnog značenja;Ne;;Ne;;Ne;;;2;;AS-15;2;;;2;;;0;;;(AS) daje se primjer primjene u književnom tekstu ali se ne analizira funkcija - šta se time postiže I sl.
5;AS/DŠ;Jezik i književnost;B;8;JIKg7;Arhaizmi/zastarjelice;Ne;;Ne;;Ne;;;2;;AS-17;2;;;2;;;0;;;(AS) daje se primjer primjene u književnom tekstu ali se ne analizira funkcija - šta se time postiže I sl.
6;AS/DŠ;Jezik i književnost;B;8;JIKg7;Vrste riječi - upitne, odnosne I neodređene zamjenice (uloga/služba u rečenici);Ne;;Ne;;Ne;;;2;DŠ-21;;2;;;2;;;0;;;(DŠ) str. 22 I 23 preopterećeni su tabelarnim prikazom deklinacija. Na str. 24 (posljednji red) pogrešno je akcentirana zamjenica koga
7;AS/DŠ;Jezik i književnost;B;8;JIKg7;Uloga povratne zamjenice sebe (se) I prisvojne zamjenice (svoj, svoja, svoje) u rečenici;Ne;;Ne;;Ne;;;2;;;2;;;2;;;0;;;
8;AS/DŠ;Jezik i književnost;B;8;JIKg7;Pisanje I izgovor prijedloga, priloga, veznika I riječica/čestica;Ne;;Ne;;Ne;;;2;DŠ-27;;2;;AS-27-1;2;;;0;;;
9;AS/DŠ;Jezik i književnost;B;8;JIKg7;Iz pravopisa;Ne;;Ne;;Ne;;;2;;;2;;;2;;;0;;;(AS) objašnjenje pisanja veznika? / (DŠ) na str. 30 zbunjujuće je objašnjenje o pisanju veznika (kad je riječ iza, a kad ispred?)
10;AS/DŠ;Jezik i književnost;B;8;JIKg7;Pravilna upotreba prijedloga iuz pojedine padeže;Ne;;Ne;;Ne;;;2;;;2;;;2;;;0;;;"(AS) puko ""štrebanje""!!!"
11;AS/DŠ;Jezik i književnost;B;8;JIKg7;Jednostavni I složeni prijedlozi;Ne;;Ne;;Ne;;;2;;;2;;;2;;;0;;;(AS) samo usvajanje činjenica
12;AS/DŠ;Jezik i književnost;B;8;JIKg7;Iz pravopisa;Ne;;Ne;;Ne;;;1;DŠ-37;;2;;;2;;;0;;;
13;AS/DŠ;Jezik i književnost;B;8;JIKg7;Odnosne zamjenice I nepromjenjive vrste riječi u vezničkoj službi u rečenici;Ne;;Ne;;Ne;;;2;;;2;;;2;;;0;;;
14;AS/DŠ;Jezik i književnost;B;8;JIKg7;Glagolsi prilozi;Ne;;Ne;;Ne;;;1;AS-41-1, AS-41-2;;2;;;2;;;0;;;(DŠ) Zadatak se svodi na upčavanje i prepoznavanje naučenog.
15;AS/DŠ;Jezik i književnost;B;8;JIKg7;Rečenica - jednostavna neproširena I jednostavna proširena rečenica;Ne;;Ne;;Ne;;;2;;;2;;;2;;;2;;;"(DŠ) str. 44 ""koje inače probleme stvara prisustvo psa u kući?)"
16;AS/DŠ;Jezik i književnost;B;8;JIKg7;Rečenice bez subjekta;Ne;;Ne;;Ne;;;2;;;2;;;2;;;0;;;"(DŠ) Matreijalna greška str. 46 ""… jer predikatni glagol ima bezlični oblik, tj. Oblik trećeg lica jednine (srednje roda)."""
17;AS/DŠ;Jezik i književnost;B;8;JIKg7;Samostalni rečenični članovi - Predikat;Ne;;Ne;;Ne;;;2;;;2;;;2;;;0;;;(AS) samo usvajanje činjenica I reproduciranje str. 51
18;AS/DŠ;Jezik i književnost;B;8;JIKg7;Subjekt;Ne;;Ne;;Ne;;;2;;;2;;;2;;;0;;;(AS) isto, str. 53
19;AS/DŠ;Jezik i književnost;B;8;JIKg7;Slaganje predikata I subjekta - kongruencija;Ne;;Ne;;Ne;;;2;;;2;;;2;;;0;;;
20;AS/DŠ;Jezik i književnost;B;8;JIKg7;Objekt;Ne;;Ne;;Ne;;;1;DŠ-60, DŠ-62;;2;;;2;;;0;;;
21;AS/DŠ;Jezik i književnost;B;8;JIKg7;Adverbijalne odredbe;Ne;;Ne;;Ne;;;1;DŠ-64;;2;;;2;;;0;;;
22;AS/DŠ;Jezik i književnost;B;8;JIKg7;Nesamostalni rečenični članovi - atribut I apozicija;Ne;;Ne;;Ne;;;1;DŠ-65, DŠ-67, DŠ-69;;1;DŠ-65, DŠ-67, DŠ-69;;2;;;0;;;(DŠ) na strani 67 pogrešno je označena adverbijalna odredba
23;AS/DŠ;Jezik i književnost;B;8;JIKg7;Složena rečenica (nezavisna I zavisna);Ne;;Ne;;Ne;;;2;;;2;;;2;;;0;;;
24;AS/DŠ;Jezik i književnost;B;8;JIKg7;nezavisnosložene rečenice;Ne;;Ne;;Ne;;;2;;;2;;;2;;;0;;;
25;AS/DŠ;Jezik i književnost;B;8;JIKg7;Vrste nezavisnosloženih rečenica - sastavne (kopulativne) rečenice;Ne;;Ne;;Ne;;;1;DŠ-77;;1;DŠ-78;;2;;;0;;;
26;AS/DŠ;Jezik i književnost;B;8;JIKg7;Rastavne (disjunktivne) rečenice;Ne;;Ne;;Ne;;;1;AS-78, AS-80;;1;DŠ-80;;2;;;0;;;
27;AS/DŠ;Jezik i književnost;B;8;JIKg7;Suprotne (adverzativne) rečenice;Ne;;Ne;uz pozitivan primjer solidarnost;Ne;;;2;;;2;;;2;;;0;;;
28;AS/DŠ;Jezik i književnost;B;8;JIKg7;Zavisnosložene rečenice;Ne;;Ne;;Ne;;;1;DŠ-85, DŠ-86;;2;;;2;;;0;;;
29;AS/DŠ;Jezik i književnost;B;8;JIKg7;Osnovna I glavna klauza;Ne;;Ne;;Ne;;;1;;;2;;;2;;;0;;;
30;AS/DŠ;Jezik i književnost;B;8;JIKg7;Red rečenica/klauza u zavisnosloženoj rečenici;Ne;;Ne;;Ne;;;1;DŠ-90;;2;;;2;;;0;;;
31;AS/DŠ;Jezik i književnost;B;8;JIKg7;Iskazivanje predikata I subjekta rečenicom;Ne;;Ne;;Ne;;;2;;;2;;;2;;;0;;;
32;AS/DŠ;Jezik i književnost;B;8;JIKg7;Vrste zavisnosloženih rečenica;Ne;;Ne;;Ne;;;2;;;2;;;2;;;2;;AS-94;
33;AS/DŠ;Jezik i književnost;B;8;JIKg7;Apozicijske rečenice;Ne;;Ne;;Ne;;;2;;;2;;;2;;;0;;;(AS) samo puko usvajanje činjenica a zadatak na str. 94 nudi samo mogućnost utvrđivanja stečenog znanja kroz konkretnu primjenu što je viša razina razumijevanja, nikako razvoj kritičke svijesti
34;AS/DŠ;Jezik i književnost;B;8;JIKg7;Objekatske rečenice;Ne;;Ne;;Ne;;;1;AS-97;;2;;;2;;;0;;;
35;AS/DŠ;Jezik i književnost;B;8;JIKg7;Mjesne (lokalne) rečenice;Ne;;Ne;;Ne;;;2;;;2;;;2;;;2;;;(AS) primjetno je da se  u lekciji spominju samo gradovi iz Federacije BiH (Tuzla, Mostar, Sarajevo) str. 99, primjeri 1, 2, 3
36;AS/DŠ;Jezik i književnost;B;8;JIKg7;Vreemenske (temporalne) rečenice;Ne;;Ne;;Ne;;;2;;;2;;;2;;;0;;;
37;AS/DŠ;Jezik i književnost;B;8;JIKg7;Načinske (modalne) rečenice;Ne;;Ne;;Ne;;;2;;;2;;;2;;;2;;AS-103;"(AS) ""Ti pjevaš kako pjevaju I tvoji roditelji"" str. 103, primjer 1. ""Čovjek se u društvu obično ponaša kao što je navikao u svojoj porodici"" str. 105, primjer 2. kako ovo tretirati? Uz lekciju je data zadatak, uoblične kao ""zanimljiv"" ali uopće nije razrađen"
38;AS/DŠ;Jezik i književnost;B;8;JIKg7;Poredbene rečenice;Ne;;Ne;;Ne;;;2;;;2;;;2;;;0;;;
39;AS/DŠ;Jezik i književnost;B;8;JIKg7;Poredbeno-načinske rečenice;Ne;;Ne;;Ne;;;2;;;2;;;2;;;2;;;(AS/DŠ) na str. 105 stereotip: čovjek se ponaša u društvu kao što je navikao u svojo porodici, zadatak za igru nije razrađen.
40;AS/DŠ;Jezik i književnost;B;8;JIKg7;Namjerne (finalne) rečenice;Ne;;Ne;;Ne;;;2;;;2;;;2;;;0;;;(AS) na strani 107 data pjesma ali ne I izvor iste, primjer 1
41;AS/DŠ;Jezik i književnost;B;8;JIKg7;Uzročne (kauzalne) rečenice;Ne;;Ne;;Ne;;;2;;;2;;;2;;;0;;;
42;AS/DŠ;Jezik i književnost;B;8;JIKg7;Posljedične (konsekutivne) rečenice;Ne;;Ne;;Ne;;;2;;;2;;;2;;;0;;;
43;AS/DŠ;Jezik i književnost;B;8;JIKg7;Dopusne (koncesivne) rečenice;Ne;;Da;život, odgovornost AS-112;Ne;;;2;;;2;;;2;;;0;;;(AS) upotrijebljeni su primjeri čiji saržaj implicira vrijednosti, ali se o sadržaju uopće ne govori (nije predmet analize). Data pjesma ali ne I njen izvor str. 112. / (DŠ) ne navodi se autor pjesme na str. 112
44;AS/DŠ;Jezik i književnost;B;8;JIKg7;Pogodbene (kondicionalne/uvjetne) rečenice;Ne;;Da;život, odgovornost, jednakost AS-114;Ne;;;2;;;2;;;2;;;0;;;(AS) upotrijebljeni su primjeri rečenica čiji sadržaj implicira vrijednosti, ali se o sadržaju uopšte ne govori, tj. Ne analizira se
45;AS/DŠ;Jezik i književnost;B;8;JIKg7;Pravopis (veliko slovo);Ne;;Da;saradnja AS-115;Da;simboli, teritorija;ignorancija;2;;;2;;;2;;;2;;;(AS) čitajući tekst stiče se dojam kako Republika Srpska nije dio BiH. Naime, upotrijebljavaju se nazivi gradova, škola, ustanova I sl samo sa teritorije Federacije BiH / (DŠ) pojmovi vezani za BiH ograničeni na prostor Federacije BiH  (fudbalski klubovi, nazivi manifestacija i sl.)
46;AS/DŠ;Jezik i književnost;B;8;JIKg7;Pisanje neodređenih zamjenica I prijedloga, zamjenica I čestice god;Ne;;Ne;;Ne;;;2;;;2;;;2;;;0;;;
47;AS/DŠ;Jezik i književnost;B;8;JIKg7;Pisanje riječi sa glasovima č, č, đ, dž;Ne;;Ne;;Ne;;;2;;;2;;;2;;;0;;;(AS) provjeriti da li ima I drugih vl. Imena izuzev muslimanskih sa dž, đ, č, ć / DŠ) nije naveden autor pjesme na str. 119
48;AS/DŠ;Jezik i književnost;B;8;JIKg7;Izgovor I pisanje riječi u kojima se pojavljuju glasovne skupine je/ije;Ne;;Ne;;Ne;;;1;DŠ-126;;2;;;2;;;0;;;
49;AS/DŠ;Jezik i književnost;B;8;JIKg7;Zarez u jednostavnoj i složenoj rečenici;Ne;;Da;sloboda;Da;patrijarhat;imputacija;2;;;2;;;2;;;2;;DŠ-127;(DŠ) nisu navedeni izvori za primjere na str. 117. pitanje je zašto su baš ovakvi primjeri odabrani I šta se njima promovira.
50;AS/DŠ;Jezik i književnost;B;8;JIKg7;Pisanje zareza u nezavisnosloženoj rečenici;Ne;;Ne;;Ne;;;2;;;2;;;2;;;0;;;(AS/DŠ) nije naveden izvor pjesme str. 131
51;AS/DŠ;Jezik i književnost;B;8;JIKg7;Pisanje zareza u zavisnosloženoj rečenici;Ne;;Da;jednakost;Da;pobožnost AS-134;imputacija;2;;;2;;;2;;;2;;AS-134;"(AS) ""One su, bez sumnje, kao I sve druge žene, one, također, žale što se nisu udale."" (str. 127) kako tretirati ovaj primjer? Narušavanje slobode izbora? Obratiti pažnju I na primjer na 134. strani"
52;AS/DŠ;Jezik i književnost;B;8;JIKg7;Upravni I neupravni govor u pisanju;Ne;;Ne;;Ne;;;2;;;2;;;2;;;0;;;
53;AS/DŠ;Jezik i književnost;B;8;JIKg7;Naracija;Ne;;Da;odgovornost, sloboda, kreativnost ;Ne;;;1;AS-141, DŠ-141;;1;AS-141;;1;AS-141;;1;AS-141;;
54;AS/DŠ;Jezik i književnost;B;8;JIKg7;Deskripcija;Ne;;Da;saradnja, kreativnost;Ne;;;1;AS-144, DŠ-144;;1;AS-144, DŠ-144;;2;;;1;;DŠ-143;(AS/DŠ) diferenciran prikaz kroz tekst I fotografiju (mada jako loš)
55;AS/DŠ;Jezik i književnost;B;8;JIKg7;Pisanje putopisa;Ne;;Da;sloboda, kreativnost ;Ne;;;1;AS-147, DŠ-147;;1;AS-147, DŠ-147;;1;AS-147, DŠ-147;;1;AS-147, DŠ-147;;
56;AS/DŠ;Jezik i književnost;B;8;JIKg7;Raspravljanje;Ne;;Ne;;Ne;;;2;;;2;;;2;;;2;;;"(AS) str. 149 ""Novac koji smo do sada trošili kupujući hranu koja nije zdrava udružićemo I kupiti lopte koje nam nedostaju u Sali za tjelesni odgoj."" insinuira se da je poželjno trošiti novac za potrebe škole."
57;AS/DŠ;Jezik i književnost;B;8;JIKg7;Pisanje scenarija;Ne;;Ne;;Ne;;;2;;;2;;;2;;;2;;;
58;AS/DŠ;Jezik i književnost;B;8;JIKg7;Čitanje i slušanje;Ne;;Ne;;Ne;;;2;;;2;;;2;;;2;;;
59;AS/DŠ;Jezik i književnost;B;8;JIKg7;Pisanje (Dramatizacija priče);Ne;;Ne;;Ne;;;1;AS-156;;2;;;1;;;0;;;(AS/DŠ) pročitati još jednom priču/dramu
60;AS/DŠ;Jezik i književnost;B;8;JIKg7;Pisanje diktata;Ne;;Ne;;Ne;;;1;AS-160;;1;;;0;;;0;;;
61;AS/DŠ;Jezik i književnost;B;8;JIKg7;Pojmovnik;Ne;;Ne;;Ne;;;2;;;2;;;2;;;0;;;
1;DŠ/AS;Jezik i književnost;S;7;JIKg31;Glasovi srprskog jezika - govorni organi;Ne;;Ne;;Da;porijeklo AS-4;ignorancija ;1;AS-5-2, AS-5-3;;2;;;2;;;0;;;"(DŠ)  Na strani 6 kaže se da je ""glas najmanja jezička jedinica koja nema svoga značenaj, ali omogućava razlikovanje značenja riječi"", što je definicija fonema, a ne glasa! ( (AS) ""Proljetne tercine"" poznatog srpskog pjesnika Alekse Šantića - ignoriše se njegovo bh. porijeklo"
2;DŠ/AS;Jezik i književnost;S;7;JIKg31;Samoglasnici;Ne;;Ne;;Ne;;;2;;;2;;AS-7-4;2;;;0;;;
3;DŠ/AS;Jezik i književnost;S;7;JIKg31;Suglasnici;Ne;;Ne;;Ne;;;2;;AS-7-5;1;AS-7-5;;2;;;0;;;
4;DŠ/AS;Jezik i književnost;S;7;JIKg31;Slogotvorno R;Ne;;Ne;;Ne;;;2;;AS-8-6;1;AS-8-6;;2;;;0;;;
5;DŠ/AS;Jezik i književnost;S;7;JIKg31;Podjela usglasnika po mjestu tvorbe;Ne;;Ne;;Ne;;;2;;;2;;;2;;;0;;;
6;DŠ/AS;Jezik i književnost;S;7;JIKg31;Podjela suglasnika po zvučnosti;Ne;;Ne;;Ne;;;2;;;2;;;2;;;0;;;
7;DŠ/AS;Jezik i književnost;S;7;JIKg31;Sonanti;Ne;;Ne;;Ne;;;2;;;2;;AS-11-1;2;;;0;;;
8;DŠ/AS;Jezik i književnost;S;7;JIKg31;Nepostojano a;Ne;;Da;život, odgovornost AS-12, AS-13-1;Ne;;;1;DŠ-15;;1;AS-13-3;;2;;;0;;;(AS) iako se u tekstu jasno vide univerzalne vrijednosti, pitanja koja slijede ispod teksta se uopće ne aktueliziraju
9;DŠ/AS;Jezik i književnost;S;7;JIKg31;Promjena l u o;Ne;;Ne;;Ne;;;1;AS-17-1;;1;AS-18, AS-19-2, AS-19-3, AS-19-4, AS-19-5;;2;;;0;;;
10;DŠ/AS;Jezik i književnost;S;7;JIKg31;Jotovanje;Ne;;Da;kreativnost AS-22-1;Ne;;;2;;;1;AS-24-2;;2;;;0;;;
11;DŠ/AS;Jezik i književnost;S;7;JIKg31;Jednačenje suglasnika po zvučnosti;Ne;;Ne;;Ne;;;2;;;1;AS-26-1, AS-26-2;;2;;;0;;;(AS) nema zadataka za vježbu na kraju lekcije
12;DŠ/AS;Jezik i književnost;S;7;JIKg31;Odstupanje od jednačenja suglasnika po zvučnosti;Ne;;Ne;;Ne;;;2;;;2;;;2;;;0;;;(AS) u lekciji nije dat nikakav oblik vježbee/zadatka za utvrđivanje stečenog znanja I bolje razumijevanje sadržaja.
13;DŠ/AS;Jezik i književnost;S;7;JIKg31;Palatalizacija;Ne;;Ne;;Ne;;;2;;;1;AS-30-1;;2;;;0;;;"(DŠ) na str. 30 kaže se da je naveden dijalog ""između glavnog junaka priče (tj. Samog pisca, jer on priča u prvom licu) I nepoznatog čovjeka…"", što je netačna konstatacija budući da se poistovjećuje lik u priči, odnosno pripovjedački glas I pisac! / (AS) na kraju lekcije postoji zadatak za vježbu, ali je oskudan - riječ je o samo nekoliko onako datih oblika riječi, tek toliko da se vidi kako kao postoji neki oblik uvježbavanja."
14;DŠ/AS;Jezik i književnost;S;7;JIKg31;Sibilarizacija;Ne;;Ne;;Ne;;;2;;;1;AS-35-1, AS-35-2;;2;;;0;;;
15;DŠ/AS;Jezik i književnost;S;7;JIKg31;Izuzeci od sibilirizacije;Ne;;Ne;;Ne;;;2;;;2;;;2;;;0;;;(AS) zadatak štur I, kao I u prethodnim lekcijama, dat sitnijim fontom obilježavajući ga time kao manje bitnim segmentom lekcije.
16;DŠ/AS;Jezik i književnost;S;7;JIKg31;Jednačenje suglasnika po mjestu tvorbe;Ne;;Ne;;Ne;;;2;;;2;;;2;;;0;;;
17;DŠ/AS;Jezik i književnost;S;7;JIKg31;Odstupanja od jednačenja suglasnika po mjestu tvorbe;Ne;;Ne;;Ne;;;2;;;2;;;2;;;0;;;
18;DŠ/AS;Jezik i književnost;S;7;JIKg31;Kombinovanje jednačenja suglasnika po zvučnosti I mjestu tvorbe;Ne;;Ne;;Ne;;;2;;;2;;;2;;;0;;;
19;DŠ/AS;Jezik i književnost;S;7;JIKg31;Kombinovanje jotovanja I jendačnje suglasnika po mjestu tvorbe;Ne;;Ne;;Ne;;;2;;;2;;;2;;;0;;;
20;DŠ/AS;Jezik i književnost;S;7;JIKg31;Kombinovanje palatalizacije I jednačenja suglasnika po mjestu tvorbe;Ne;;Ne;;Ne;;;2;;;2;;;2;;;0;;;(AS) na kraju oblasti dat zadatak, ali isto kao I u prethodnim lekcijama - štur, bez posebnog smisla I sitnim fontom pisan.
21;DŠ/AS;Jezik i književnost;S;7;JIKg31;Gubljenje suglasnika;Ne;;Ne;;Ne;;;2;;;2;;AS-44-1;2;;;0;;;
22;DŠ/AS;Jezik i književnost;S;7;JIKg31;Izuzeci od pravila o gubljenju suglasnika;Ne;;Ne;;Ne;;;2;;;1;AS-45-1;;2;;;0;;;
23;DŠ/AS;Jezik i književnost;S;7;JIKg31;Asimilacija samoglasnika;Ne;;Ne;;Ne;;;2;;;1;AS-46-1;;2;;;0;;;
24;DŠ/AS;Jezik i književnost;S;7;JIKg31;Akcenat;Ne;;Ne;;Ne;;;2;;;2;;AS-48-1;2;;;0;;;
25;DŠ/AS;Jezik i književnost;S;7;JIKg31;Dužina akcentovanih samoglasnika: kratki I dugi akcent;Ne;;Ne;;Ne;;;2;;;2;;;2;;;0;;;
26;DŠ/AS;Jezik i književnost;S;7;JIKg31;Izgovaranje dugih akcenata: dugosilazni I dugouzlazni akcenat;Ne;;Ne;;Ne;;;2;;;2;;;2;;;0;;;
27;DŠ/AS;Jezik i književnost;S;7;JIKg31;Složena rečenica;Ne;;Da;život AS-51-1;Ne;;;2;;;2;;;2;;;0;;;
28;DŠ/AS;Jezik i književnost;S;7;JIKg31;Nezavisni I zavisni odnos među rečenicama u složenoj rečenici;Ne;;Ne;;Ne;;;2;;;1;AS-52-2,  AS-52-3, AS-52-4, AS-52-5, AS-52-6;;2;;;0;;;
29;DŠ/AS;Jezik i književnost;S;7;JIKg31;Iskazivanje rečeničnih članova riječju, sintagmom ili rečenicom.;Ne;;Da;život;Ne;;;2;;;2;;;2;;;0;;;(DŠ) na str. 50 ponovo se poistovjećuju lik iz književnog teksta I autor. / (AS) lekcija je dobar primjer kako povezati književnost I gramatiku I izučavati ih integralno, a ne kao što je u praksi - kao da nemaju nikakvih dodirnih tačaka. No, nedostaju pitanja kojima bi se djeca ponukala na zaključivanje šta se postiže različitim upotrebama gramatičkih oblika i sl.
30;DŠ/AS;Jezik i književnost;S;7;JIKg31;Atributska I predikativna služba imenica I prijdjeva;Ne;;Ne;;Ne;;;2;;;2;;;2;;;0;;;
31;DŠ/AS;Jezik i književnost;S;7;JIKg31;Predikativna služba pridjeva I imenica;Ne;;Ne;;Ne;;;2;;;1;AS-67-2;;2;;;0;;;
32;DŠ/AS;Jezik i književnost;S;7;JIKg31;Atributska funkcija pridjeva I imenica;Ne;;Ne;;Ne;;;2;;;2;;;2;;;0;;;(AS) neznatan broj zadataka za utvrđivanje stečenog znanja
33;DŠ/AS;Jezik i književnost;S;7;JIKg31;Pridjevske zamjenice;Ne;;Da;život AS-73-1;Ne;;;1;AS-73-1;;1;AS-73-2;;2;;;0;;;
34;DŠ/AS;Jezik i književnost;S;7;JIKg31;Upitno-odnosne pridjevske zamjenice;Ne;;Ne;;Ne;;;2;;;1;AS-75-1;;2;;;0;;;
35;DŠ/AS;Jezik i književnost;S;7;JIKg31;Prisvojne zamjenice;Ne;;Ne;;Ne;;;2;;;1;AS-77-1, AS-77-2;;2;;;0;;;
36;DŠ/AS;Jezik i književnost;S;7;JIKg31;Prisvojna zamjenica za svako lice;Ne;;Ne;;Ne;;;2;;;1;AS-78-1;;2;;;0;;;
37;DŠ/AS;Jezik i književnost;S;7;JIKg31;Pokazne zamjenice;Ne;;Ne;;Ne;;;2;;;2;;;2;;;0;;;
38;DŠ/AS;Jezik i književnost;S;7;JIKg31;"Neodređene, odrične I opšte pridjevske zamjenice; Neodređene zamjenice";Ne;;Ne;;Ne;;;2;;;2;;;2;;;0;;;
39;DŠ/AS;Jezik i književnost;S;7;JIKg31;Odrične zamjenice;Ne;;Ne;;Ne;;;2;;;2;;;2;;;0;;;
40;DŠ/AS;Jezik i književnost;S;7;JIKg31;Opšte zamjenice;Ne;;Ne;;Ne;;;2;;;2;;;2;;;0;;;(AS) zadatkom na kraju oblasti se potiče na opčavanje, ali ne I na zaključivanje, osmišljavanje ili prosuđivanje kako zamjenice funkcionišu u tekstu, šta se time postiže I kako utiče na čitaoca
41;DŠ/AS;Jezik i književnost;S;7;JIKg31;Aorist;Ne;;Ne;;Ne;;;2;;;1;AS-87, AS-88-1, AS-88-2, AS-88-3;;2;;;0;;;
42;DŠ/AS;Jezik i književnost;S;7;JIKg31;Futur II;Ne;;Ne;;Ne;;;2;;;2;;;2;;;0;;;"(AS) loš odabir teksta - djeluje pomalo zastrašujuće, koristi se religijska terminologija ""đavo"", ""preksrsti se""… nadalje, u pitanjima se koristi termin ""glavni junak"", a može se koristiti termin ""glavni lik"""
43;DŠ/AS;Jezik i književnost;S;7;JIKg31;Imperfekat;Ne;;Da;život AS-96-1;Ne;;;1;AS-96-1;;1;AS-96-2;;2;;;0;;;(AS) zadatkom na kraju oblasti se potiče na uočavanje, ali ne I na zaključivanje, osmišljavanje ili prosuđivanje kako zamjenjivanje glagolskih vremena funkcioniše u tekstu, šta se time postiže I kako utiče na čitaoca.
