Šifra udžbenika;Kod;Primjer
V12;ZPM-77;…djela. Iskoristi mladost prije starosti, zdravlje prije bolesti, bogatstvo prije siromaštva, slobodno vrijeme prije zauzetosti i život prije smrti. Činjenje dobrih djela čuva čovjeka od zlih stvari a sadaka sprečava ružnu i zlu smrt. Najbolja sadaka je da čovjek musliman nauči neku nauku a zatim je prenese na svoga brata muslimana. Darežljivost je jedno od stabala Dženneta, čije grane su spuštene na Zemlju, pa ko uzme jednu granu od njih ta će ga grana odvesti u Džennet. Sačuvat će se škrtosti onaj ko bude davao zekat, počastio gosta i drugom pomogao u nevolji. Allah zaista voli da se pomogne tužan i razočaran čovjek. Uzvišeni Allah ima stvorenja koje je naročito odredio za potrebe ljudi. Ljudi traže od njih pomoć u svojim potrebama. Takvi (kojima se ljudi obraćaju u nuždi) su sigurni od Allahove kazne. Širite selam medu sobom, voljet ćete se. Redovno perite zube, pa zaista je to čistoća, a čistoća vodi vjerovanju, a vjerovanje će biti sa svojim pristalicama u Džennetu, a Džennet je pod majčinim nogama. 
V12;ZPM-77-b;Koja dobra djela najčešće prakticiraš? Koji ibadet ti pričinjava posebno zadovoljstvo? 
V12;ZPM-78-a;"Pamti i primjenjuj; Rekao je Muhammed, a.s: Ko ne zahvaljuje ljudima ne zahvaljuje ni Allahu, dž.š. Ko vjeruje u Allaha i Sudnji dan neka nipošto ne zastrašuje drugog muslimana. Ko povede slijepog čovjeka četrdeset koraka zaslužio je Džennet. Ko izdržava i brine se za stanovnike jedne muslimanske kuće, i to danju i noću, oprostit će mu Allah njegove grijehe. Ko nahrani svoga brata muslimana s onim što on voii, Allan ga je zabranio Džehennemu. Ko prihvati siroče, koje je palo na teret njemu ili nekom drugom pa ga uzdržava dok ga Allah ne učini sposobnim, taj je zaslužio Džennet. Ko je milostiv i ima sarmilosti, pa makar se to radilo o žrtvi vrapca, i njemu će se Allah smilovati na Sudnjem danu. Ko odbije svoju srdžbu odbit će Allah od njega svoju kaznu, a ko čuva jezik pokrit će Allah njegovu sramotu. Ko je ponizan i skrpman radi Allaha uzdignut će ga Allah. Ko čini dobro svojim roditeljima blago njemu! Allah će mu dati duži život. Ko zanoći umoran od traženja zarade na dozvoljen, halal način zanoćio je, a grijesi su mu oprošteni. Ko zavoli neke ljude Allah će ga na onom svijetu proživiti među njima. "
V12;ZPM-7-a;Treba li pomagati drugima? Zašto? 
V12;ZPM-7-b;Voliš li da drugi pomažu tebi? Zašto? 
V12;ZPM-7-c;"Da li je uredu zavidjeti drugima? Zašto? Često se dešava da volimo raditi samo ono što nam ""ide od ruke""zanemarujući ostale obaveze. "
V12;ZPM-7-e;Izbore treba praviti na prihvatljiv način, bez grubog nametanja volje ili mišljenja, nemoralnog ponašanja i odijevanja, pretjeranog isticanja sebe i potcjenjivanja drugih, težnje da vladamo drugima ili upotrebe drugih kao sredstva za dolaženje do cilja. 
V12;ZPM-80-a;Blago onome koje u razumnim granicama, ponizan i susretljiv, ko pošteno radi i zarađuje, ko svoju unutrašnjost i spoljašnost uljepša i oplemeni i ko drugima zlo ne čini.  
V12;ZPM-80-b;Blago onome ko radi i vlada se po stečenom znanju, dijeli višak imovine i kloni se ispraznog govora. 
V12;ZPM-81-a;Činite dobro drugima kao što je Allah i vama dobro učinio. 
V12;ZPM-81-b; Ko učini neko dobro, bio on musliman ili nemusliman, Allah će ga nagraditi na ovome ili na onome svijetu.
V12;ZPM-82-a;"Rekao je Abdullah ibn Abbas, r.a.: ""Zaista, dobro djelo donosi sjaj u lice, svjetlost u srce, povećava opskrbu, daje snagu tijelu i donosi ljubav stvorenja prema onome ko čini dobro. "
V12;ZPM-82-b;"A loše djelo je crnilo na licu, tmina u srcu, slabost u tijelu, uskraćivanje opskrbe i mržnja u ljudskim srcima prema onome ko čini loša djela."" "
V12;ZPM-85-a;Vršnjaci su ga voljeli zbog njegove iskrenosti i spremnosti da svima pomogne. 
V12;ZPM-86-a;Napravi kratku samoanalizu: Moj moralni plus i minus. U dijelu: Moj moralni plus napiši svoje pozitivne moralne postupke i osobine, dok u dijelu: Moj moralni minus napiši svoje postupke i osobine koje ne smatras moralnim. Naravno, dodaj i kako svoje pozitivne osobine možeš unaprijediti, a negativne promijeniti. (Moj moralni plus, Mogućnosti napredovanja, Moj moralni minus, Mogućnosti napredovanja)
V12;ZPM-86-b;Ali, vrlo često ne znaju tamnu stranu njihovog života. Često takvi uzori nisu moralni. Žive nesređenirn životom, ponekad ovisni o drogi ili alkoholu uz nepristojno izražavanje i odnos nepoštovanja prema suprotnom spolu, roditeljima i drugim ljudima uopće. 
V12;ZPM-87-b;"Izaberi zadaću: Uporedi osobine neke ""zvijezde"", ""idola""s osobinama Poslanika, a.s. Napravite i izvedite igrokaz od priče o Adnanovom moralnom uzoru. Identificiraj svoju moralnu slabost, (npr, tračanje, laganje…) primjeni savjete Poslanika, a.s., prati promjene koje primećuješ na sebi i u svojoj okolini. Napiši kratak sastav o tome! "
V12;ZPM-88-a;Razmisli o njegovom iskustvu! 
V12;ZPM-89-a;Kod mene nema neiskrenosti i obmane prema ijednom muslimanu niti zavisti na dobro koje je Allah Uzvišeni nekom podario.
V12;ZPM-89-c;Koje su tvoje posebne moralne vrijednosti zbog kojih bi mogao i ti postati džennetlija? 
V12;ZPM-89-d;Razgovarajte s nastavnikom, vršnjacima i roditeIjimao.moralnosti u vašem okruženju. 
V12;ZPM-89-f;Identiciraj primjere nemoralnosti u ovom vremenu. 
V12;ZPM-89-g;Analiziraj omiljenu pjesmu/film iz perspektive morala/nemorala. 
V12;ZPM-90-a;Kada se osvrnemo oko sebe, prepoznat ćemo ljude različitih imena, izgleda, interesa. 
V12;ZPM-90-b;Primjetit ćemo da istu stvar vidimo na različite načine u zavisnosti od iskustva, motivacije, kulture iz koje dolazimo. 
V12;ZPM-90-c;Ove različitosti su bogatstvo čovječanstva, bogatstvo Ummeta. 
V12;ZPM-92-a;Razmisli o sličnostima u pogledu na moralnost islama, kršćanstva i judaizma i popuni tabelu. (Islam, Kršćanstvo, Judaizam)
V12;ZPM-92-b;Obavi intervju sa 10 osoba iz svoje blizine - kako doživljavaju pojavu javnog narušavanja općih moralnih vrijednosti.
V12;ZPM-92-c;Razgovaraj sa osobama različitih vjeroispovijesti o njihovom odnosu prema moralu. 
V12;ZPM-95-a;Pored navedenih događaja dodaj odgovarajuću godinu. (Hidžra - osnivanje Medinske zajednice, Hilafet pravednih halifa, Prvi građanski ra,t Vladavina Emevija, Vladavina Abbasija, Vladavina Osmanlija, Osvajanje Beča, Pojava nacionalizma, Pokreti za reforme, Raspad hilafeta)
V12;ZPM-96-a;U sljedećoj tabeli navedene osobine pridruži odgovarajućim kolonama znakom X: (sebičnost, pohlepa, pravednost, mržnja, savjetovanje, solidarnost, zavidnost, čuvanje časti, prijezir, zlonamjernost, iskrenost, ljubav, suparništvo, bratstvo, varanje) 
V12;ZPM-97-a;Radionica:  Ako sociogram pokaže da u razredu postoji i 'neprihvaćeni' član, razmisli u čemu je problem i savjetujte se kako ćemo i njega ili nju učiniti aktivnim i omiljenim članom razreda?
V12;ZPM-99-a;Time se kazuje da je el-insan stvoren društvenim bićem i u svom življenju upućen na suživot s ostalim članovima zajednice. 
V12;ZPM-99-b;Među ljudima je najvredniji onaj koji je najkorisniji ljudima! 
V12;ZPM-99-d;Čovjek je pastir u svojoj porodici, dok je žena pastirica u kući svoga muža i njihove djece.
V12;ZPM-9-b;Kako bi spoznao svrhu svoga postojanja, treba otkriti svoje jake strane i na njima graditi uspjeh. 
V12;ZPM-9-c;Važno je na životnom putu razmišljati o vlastitim postupcima i njihovom djelovanju na sudbinu. 
V6;ZPM-10-a;Тада га пакосници изведоше ван града и убише камењем. 
V6;ZPM-11-a;Јеврејске власти су прогањале хришћане и ван Јерусалима. 
V6;ZPM-11-b;...млaдића Сaвла да оде тамаo, лохвата хришаћане и да их доведе у Јерусалим.
V6;ZPM-11-c;Јевреји су га много мрзили и покушавали да га убију.
V6;ZPM-11-d;...Павле назива апостол незнабожаца. 
V6;ZPM-12-a;Јевреји су жељели да збаце са себе окупаторски римски јарам, па су врло често дизали побуне против Римљана. Једна таква побуна десила се 67. године послије Христа. Тада је римска војска опколила Јерусалим и послије дуге и тешке борбе заузела град, спалила га и разорила храм. Овим се испунило Христово пророштво да од храма неће остати ни камен на камену. 
V6;ZPM-12-d;Почела су гоњења хришћана у којима су се дешавали наjcтрашниjи злочини у историjи рода људског. 
V6;ZPM-13-a;Међу антиохијским хришћанима појавише се комешање и спорови.
V6;ZPM-13-c;Чега треба да се чувају хришћани из незнабоштва? 
V6;ZPM-15-a;...гдjе су Павла неколико година раније замало убили каменрвањем. 
V6;ZPM-15-b;"Али некн Јевреjи коjи су сгигли У Листру придобише народ говорећи: ""Ништа право не говоре, него све лажу."" И Павла каменоваше. "
V6;ZPM-15-c;Међу осталим Јеврејима дође до велике побуне,…
V6;ZPM-18-b;Много пута сам путовао, био сам у сграху на водама, у сграху од хајдука, у сграху од родбине, у сграху од незнабожаца, у сграху у градовима, у сграху у пустињи, y сграху на мору, у сграху међу лажном браћом,... 
V6;ZPM-18-c;Хришћани су бацани пред звијери у арене, мучени, разапињани на крст и убијани.
V6;ZPM-19-b;За вријеме Нероновог гоњења сградали су апосголи Петар, који је разапет на крст и апосгол Павле коме је глава одсјечена мачем. 
V6;ZPM-19-c;"""Крв мученика је била сјеме из кога су ницали нови хришћани""."
V6;ZPM-23-c;Када је пресгало спољашњнe гoњење Цркве, онда су се појавили yнутрашњи непријатељи вјерe, лажни учитељи (јеретици), који су покушавали да разоре једну, свету, саборну и апостолску Цркву и пуноћу истине у њој. Црква је такве на Васељенским саборима осудила. 
V6;ZPM-27-a;Они кojи cу твpдили да у Христу постоји само једна природа (МОНОФИЗИТИ), одбацили су одлуку Халкидонског сабора и до данас су осгали одвојени од Православне Цркве. 
V6;ZPM-28-a;На овом сабору осуђено је учење Оригена (+254), који je погрешно учио да су сви анђели створени једнаким по савршенсгву. Још је пофешно учио да ће се зли духови покајати и посгати добри, повратити Богу и измирити са њим. 
V6;ZPM-34-a;Све је општа својина, а сваки монах добија оно што му је потребно за издржавање. Побједивши многобоштвo у самој империји, хришћансгво се сада шири далеко ван граница римске државе. 
V6;ZPM-37-a;Да ли је крштење Срба ишло брзо и лако? 
V6;ZPM-43-b;Тада хиљаде Грка изгине, а што остане у животу то се или разбјеже или потурчи. Црква Свете Софије би претворена у џамију. 
V6;ZPM-43-c;Покорене хришћане Турци су гледали са омаловажавањем. 
V6;ZPM-45-c;Зашто је цар Михаило III тражио помоћ са Запада?
V6;ZPM-46-b;Продавање за новац опроштаја се назива индулгенција. Та папина одлука буде објављена у Њемачкој и неки калуђер, по иметту Тецел, стаде за новац продавати опроштај гријехова као нa вашаpy.
V6;ZPM-46-d;Задржао је само Свето писмо, као једини извор хришћанске вјере, допусгивши сваком од вjерника да га тумачи слободно, по свом нахођењу и својој памети.
V6;ZPM-50-a;У православном свијету нема патријарха који је надређен свим поглаварима аутокефалних цркава. Цариградски патријарх, прозван васељенски, само је први међу једнакима. 
V6;ZPM-52-d;Питање старокатоличког покрета - питање је будућности, које заслужује пажњу свих хришћанских народа како на Запaдy тако и на Истоку. 
V6;ZPM-53-c;Папина посланица није имала повољног резултата, јер cy, грчки богослови доказивали да папа опегг обмањује исгочнe хришћане.
V6;ZPM-54-a;Као израз тежњи да се превазиђе вјековна подијељеност хришћана у више хришћанских заједница и да се поново успостави видљиво јединсгво свих хришћана. ЕКУМЕНИЗАМ се, у свом модерном облику, јавља почетком 20. вијека. 
V6;ZPM-54-d;"Православни критичари екуменнзма истичу да је овај покрет типични производ протестантског поимања хришћанства и Цркве. То поимање подразумијева да не постоји једна истина и једна Црква, него да свака од бројних ""цркава"" посједује понешто од истине. "
V6;ZPM-7-a;Карактеристика овог периода: хришћанска Црква у борби cа јудејством и многобоштвом. 
V6;ZPM-8-b;Тад се апосгол Петар обрати окупљеном народу и рече да је Исус Христос прави Месија, који је обећан Израиљском народу. 
V6;ZPM-8-c;Они га нису признали, већ су га разапели на крст и убили. 
V8;ZPM-11-a;У овом нашем свијету човјек је најсавршеније биће. 
V8;ZPM-18-c;По учењу Св. Писма Бог је на почетку створио један брачни пар. Имена њихова су Адам и Ева, они су нaши прародитељи, а ми међусобно бpaћa. Адаму и Еви дат је благослов размножавања: Рађајте се и напуните земљу. Ако анализирамо људе, ма које расе или врсте, доћи ћемо свакако до ове библијске тврдње. У грађи људи не постоји разлика. 
V8;ZPM-39-a;Проблем о коме ће бити ријечи у овом поглављу веома је сложен и од изузетне је важности за правилно разумијевање и препознавање Цркве и њој насупрот - секти. 
V8;ZPM-39-b;""" Јер ће се појавити лажне месије и лажни пророци, те ће чинити велике знаке и чуда да заведу, ако је могуће и изабране. "
V8;ZPM-39-c;… јесте-бирам. То значи, изабарати један мањи дио Светог писма и слиједити му. Тај дио посматрати и тумачити изван цjелине Светога писма. 
V8;ZPM-39-d;Ова група јe непријатељрки расположена према заједници од које се одвојила. 
V8;ZPM-40-a;Он се састоји у уништавању појединца и уништавању породице, па и самог друштва у цjелини. 
V8;ZPM-40-b;Секте су нeриjатељcки расположене нарочито према вјерским заjедницама из којих су и поникле и према онима са богатом вјерском традицијом. 
V8;ZPM-46-b;Створен по спици Божијој, човјек се издваја од остале творевине и заузима централно мјесто у њој. 
V9;ZPM-10-a;Одаос човjeкa према другим људима: Поштуј oца својега и матер своју да сpeтан будеш да ти се продуже дани на земљи. Не убиј. Не чини прељубе. Не кради. Не свједочи лажно на ближњега својега. Не пожели ништа што је туђе. 
V9;ZPM-11-d;ЗАКОН О МОРАЛНОМ ВЛАДАЊУ, овај закон је садржан у двије Христове заповиjести о љубави.
V9;ZPM-12-a;ЉУБИ БЛИЖЊЕГА СВОГА КАО И САМОГ СЕБЕ. 
V9;ZPM-19-a;Што год свежете на земљи биће свезано на небу: и што год разријешите на земљи, биће разријешено и на небу… 
V9;ZPM-22-a;Савјест је моћ човјековог духа да разликује шта је добро а шта зло. 
V9;ZPM-22-b;МИРНА савјест изазива код човјека унутрашње задовољство којим оиа душу испуњава. 
V9;ZPM-22-c;Нечиста, пак, савјест је највећа казна коју човјек већ на овом свиjету трпи за своjа грешна дjела. 
V9;ZPM-23-a;Савјест треба да је увијек: БУДНА (ако човјека стално опомиње на добро, а одвраћа од зла). 
V9;ZPM-23-b;ИСТИНИТА (ако се њена пресуда увијек слаже са моралним законом). 
V9;ZPM-23-c;Слобода воље има у власти да одабере једно или друго. 
V9;ZPM-24-a;Циљ човјековог живота овдје на земљи jе постизaње спасења, односно савршенства и вјечног живота у заjедници ca светом Тројицом.
V9;ZPM-24-b;Да би то постигао човјек мора прије свега бити добар и чинити добро. 
V9;ZPM-24-c;Све човјекове дужности су усмјерене на постизање једног јединственог циља, а то је заједница са св. Тројицом, односно спасење душе. 
V9;ZPM-26-a;Човјек своју вјеру треба доказатис дoбрим дјелимa. Нада је потребна за морално усавршавање и спасење човјека, јер она даје снагу и вољу човjeку да се око свога спасења труди.
V9;ZPM-26-b;Човјек без вјере jе сличан лађи без компаса.
V9;ZPM-26-c;Tај гриjех против вjeре зове се атеизам или безбоштво. 
V9;ZPM-26-d;Oвај гријех је велики и неопростив а њега могу код човјека проузроковати разне околности као, нпр., рђаво васпитање, зли примјери у младости, једнострана и површна ученост. 
V9;ZPM-27-a;Највећа хришћанска врлина је ЉУБАВ.
V9;ZPM-27-b;"Христос нам налаже да имамо љубави и према другим људима: ""Љуби ближњега свога, као самога себе"" па чак и према непријатељима својим. "
V9;ZPM-27-c;Хришћанска ЉУБАВ има за циљ извршавање моралног закона и постизање савршенства. 
V9;ZPM-27-d;И ако имам дар пророштва и знам све тајне и све знање, и ако имам сву вјеру тако да премјештам горе, а љубави немам, ништа сам… 
V9;ZPM-27-e;Коме је сличан човјек без вјере? 
V9;ZPM-28-a;Хришћанска врлина је слободна, разумна, искрена и постојана тежња човјекове душе да што потпуније извршава морални закон из љубави према Богу и по науци и примјеру Господа Исуса Христа. 
V9;ZPM-28-b;Смјерност је основна врлина, односно основа духовног живота сваког хришћанина. 
V9;ZPM-28-c;Хрирпћанин треба да је дарежљив и да је увијек спреман помоћи онима којима је помоћ потребна. 
V9;ZPM-29-a;Да би, пак, срце било чисто морамо из њега избацити сваку прљавштину, мржњу, пакост, злобу, а у њега уселити љубав, и то љубав према Богу и љубав прма другим људима. 
V9;ZPM-29-b;Давање је, у ствари, израз онога што смо. Православни хришћанин је дужан да се брине о спасењу своје душе. 
V9;ZPM-29-c;Једна од најзначајнијих хришћанских врлина је свакако милосрђе. 
V9;ZPM-29-d;Пошто је Бог милостив, онда и људи морају бити милостиви. 
V9;ZPM-30-a;Милосрђе треба указати свакоме коме је оно потребно.
V9;ZPM-30-b;Христос yчи да требамо бити милостиви и према својим непријатељима.
V9;ZPM-30-c;(КРОТКОСТ)…стање када у срцу човјека нема мржње ни према коме, па ни према непријатељима. 
V9;ZPM-31-b;И, најзад они који прецјењују себе склони су да потцjењуjу друге људе. 
V9;ZPM-34-a;Пост је уздржавање од јаке хране и пића за извјесно вријеме, ради oбуздавања тјелесних страсти и грешних склоности, да би се човjеку ојачале духовне силе и врлине. 
V9;ZPM-34-b;А кад постите, не будиге жалосни као лицемјери, јер они начине блиједа лица своја да их виде људи где посте… 
V9;ZPM-36-a;ЗАВЈЕТИ: Завјет је обећање Богу, којим се човјек добровољно обавезује на неко добро дjело, којим жели што више угодити Богу.
V9;ZPM-38-a;...праведност, светост, духовну чистоту, доброту, смјерност, кроткост, љубав, милосрђе, праштање и друге.
V9;ZPM-39-a;"""Благо онима који су чистога срца, јер ће Бога видјети"""
V9;ZPM-39-b;"""Благо онима који мир граде, јер ће се синови Божији назвати"" "
V9;ZPM-44-b;Под неправдом можемо разумјети ускраћивање туђих права. 
V9;ZPM-45-a;Милостиви људи су они који чине добра дјела и помажу људима. 
V9;ZPM-45-b;Христос учи да милостиви треба да будемо према свим људима, а Његово милосрђе иде тако далеко да обухвата љубав према непријатељима. 
V9;ZPM-45-c;Ближњи је, дакле, сваки човјек, чак и ако је неприjатељ. 
V9;ZPM-45-d;Дјела душевног милосрђа су: грешника од зла пута одвратити, невјерника иснитиој вјери поучити, ближњему добар савјет дати, за другога се Богу молити, немоћне тјешити, увреде праштати. 
V9;ZPM-45-g;Дјела тјелесног милосрђa cy: гладнога нахранити, жеднога напоjити, нагога одjенути, болеснога обићи и послужити, сужња у тамници посјетити, путника у кућу примити, сиромаха сахранити. 
V9;ZPM-46-a;О ЧИСТОТИ СРЦА: Да бисмо могли Бога видјети, потребно је да тај центар, односно наше срце, у потпуиости буде чисто. О МИРОТВОРСТВУ: У Cв. Писму се каже да је Бог- Бог мира и Цар мира.
V9;ZPM-46-b;О ЧИСТОТИ СРЦА: Невјеровање у Бога или атеизам има свој узрок у прљавштини срца. О МИРОТВОРСТВУ: Без мира са Богом и у себи нема мира у људском друштву.
V9;ZPM-46-c;Људи су дужни да раде на томе да завлада мир, jep таквима је обећано да ће се синовима Божијим назвати. 
V9;ZPM-47-a;Гријех се толико умножио да је преплавио cвијет, тако да сав свијет лежи на злу учи Св. Јован. 
V9;ZPM-47-b;Христос је, дакле, обећао царство небеско оним људима који чине добро, испуњавају Божије заповијести и побожно живе у овом свијету. 
V9;ZPM-48-a;А посебна заједница људи створена jе када је Бог Адаму привео женy Еву и благословио их за заједнички живот: Рађајте се, и множите се, и напуните земљу и владајте њоме. 
V9;ZPM-48-b;Брачну везу међу супружнрхцима, чију суштину сачињава духовна љубав, св. Апостол Павле упоређује са духовном везом господа Исуса Христа и Цркве Његове, па из овог изводи дужност мужа према жени и жене према мужу. 
V9;ZPM-50-a;Црква од будућих хришћанских супружника захтијева следеће: претходно чист живот, прописане године старости (за мушкарца 18, а за жену 16), да знају основе вјере и Божијег закона, да буду вјерни једно другоме, да њихова међусобна наклоност буде разумна, искрена и чиста, да се међусобно воле, потпомажу и поштују, да се искрено стараjу о васпитању, здрављу и напретку своје дјеце. 
V9;ZPM-50-b;Њихова дужност је да се брину за живот и здравље cвоjе дjеце, да их правилно васпитавају, јер од тога зависи будућа њихова срећа. 
V9;ZPM-50-c;Због тога мајка треба да је мудра и побожна, јер што она у дjетињству усади у душу дјетета, то човјек носи са собом кроз цијели живот. 
V9;ZPM-51-a;Стога свако дијете треба своjим родитељима од срца да жели свако добро, да захвално признаје сва њихова доброчинства према њима и да својим владањем и честитошћу служе својим родитељима на радост и утјеху. 
V9;ZPM-51-b;Дjеца треба да помажу родитељима у раду и да њихове мане и слабости стрпљиво подносе, да их у старости и болести искрено дворе и његују, да се за живота за њих моле, а послиjе смрти за спасење Бихових душа. 
V9;ZPM-52-a;Хриишћанска Црква приповедајући jеднакост и братство мећу људима, не укида измjeну сталежа и разних друштвеннх звања, нити чини млађе равне старијима, а потчињене једнаке њиховим старјешинама у свему.
V9;ZPM-54-a;Отаџбину треба вољети, чувати односно према њој велику љубав имати. 
V9;ZPM-54-b;Та љубав састоји се у томе, да својој отаџбини желимо свако добро и да и сами учествујемо у свему ономе, што може нашу отаџбину и народ усрећити и унаприједити.
V9;ZPM-54-c;"Љубав према отаџбини захтијева од хришћанина сљедећe: а) да свјесно врши дужности свога звања; б) да се по својим способностима и могућностима труди око напретка и благостања свога народа и отаџбине у сваком погледу. В) да настоји да одгони свако зло, које би отаџбини пријетило. г)да од срца дијели радост и жалост, и срећу и несрећу своје отаџбине и свога народа па ако је потребно да и сами свој живот за њу жртвује по ријечима Господа Исуса Христа ""Од ове љубави нема нико веће, до ко душу своју положи за ближње своје""  "
V9;ZPM-54-e;Хришћанин је дужан поштовати и све државне власти и њихове наредбе и заповијести извршавати јер је свака власт од Бога.
V9;ZPM-58-a;Јер вам кажем заиста: Што год свежете на земљи, биће свезано на небу, и што год разријешите на земљи биће разријешено иа небу.
V9;ZPM-5-b;Православна етика има задатак да изложи науку о моралном закону и о моралним дужнрстима човјека као хришћанина. 
V9;ZPM-5-c;Људи су створени за то дa пpаведнo и cвето живe и да cвojим дјелима Богу угaћajy.
V9;ZPM-60-a;Свештенослулштељи треба да својим животом и радом буду примјер вјернима у свакој хришћанској врлини, и то не само у jавиом него и у приватном животу. Хришћанин је дужад поштовати свога свештеникa, односно дужност хришћанина је да поштуjу и воле својe cвештенике, као своје  духовне оце и молитвенике пред Богом, јер се тиме поштује и сам Г. И. Христос који је рекао својим апостолима, а преко њих и њиховим насљедницима (црквеним пастирима), да ко њих слуша, тако слуша њега самога. 
V9;ZPM-61-a;Православни српски народ, y овом времену, пролази кроз тешка искушења. 
V9;ZPM-61-b;Пет деценијa гpyбoг атеизма оставило јe дубоке ране y духовном животу нашег народа. 
V9;ZPM-62-a;"„Јеретичке књиге не читати"". Православни хришћанин је дужан да се благо и пријатељски понаша и према хришћанима неправославне вјере, и да се стара о њихову добру и срећи..."
V9;ZPM-62-b;Љубав православног хришћанина треба да се стиче чак и на оне људе који не вјерују у Христа, јер и они су створени по слици и прилици Божијој и за њих је Христос своју крв пролио…
V9;ZPM-62-c;Православни хришћанин је дужан да своjу вјеру и брани.
V9;ZPM-6-a;ЧОВЈЕК ЈЕ, ДАКЛЕ, ЈЕДИНО МОРАЛНО БИЋЕ НА ЗЕМЉИ. 
V9;ZPM-6-c;Овом душом човјек се углавном и разликује од животиња. 
V9;ZPM-8-a;...по коме се равнају створови без разума и слободе воље. 
V9;ZPM-8-c;САВЈЕСТ ЈЕ МОЋ ЧОВЈЕКОВОГ ДУХА КОЈОМ ОН САЗНАЈЕ И РАЗЛИКУЈЕ ШТА ЈЕ ДОБРО А ШТА ЗЛО И ПРИМЈЕЊУЈЕ ТО САЗНАЊЕ И РАЗЛИКОВАЊЕ НА ПОЈЕДИНА ЉУДСКА ДЈЕЛА. 
V9;ZPM-8-d;Савјест има сваки човјек. 
V9;ZPM-9-a;Ако човјек чини добро дјело то га тјеши и развесељава, а ако чини зло, то га мучи и гризе (грижа савјести). 
V9;ZPM-9-b;Ови осјећаји се појављују у нама без обзира на то да ли ћемо за наша дjела бити награђени или кажњени, или да ли још ко, осим нас, за та дjeла зна. 
V9;ZPM-9-c;Међутим, цијело људско биће је прародитељским гријехом заражено те је усљед тога савјест повријеђена. 
V10;ZS-100;O kome se govori u pročitanoj priči? Šta je Vedad volio? Čega se rado sjeća? Zašto?Čemu ga je babo naučio kad su išli u šumu? Koji dio priče se tebi posebno svidio? Slažeš li se sa ovakvim razmišljanjem o životu? Zašto? 
V10;ZS-102;Nemoj misliti da je Allah, dž.š.,nepravedan prema tebi ako ti u ovom trenutku nemaš sve te igračke koje imaju neka druga djeca .Jesi li i!nožda, pomislio da ima puno djece koja isto kao i ti, ili čak i manje, imaju od onoga što si pobrojao?,! Jesi li pomislio na djecu u siromašnim zemljama, u kojima djeca nemaju dovoljno hrane i vode, umiru od kojekakvih bezazlenih bolesti samo zato što im roditelji ne mogu pribaviti lijekove?Dragi moj dječače. Bog ljude iskušava sa svim onim što im je dato ili onim što im je uskraćeno.  
V10;ZS-103-a;Šta je primijetio djed Hašim? Zašto je Edin bio nezadovoljan I ljut? Na koji način gaje djed Hašim potakao na razmišljanje? Šta je dječak shvatio? Kakve blagodati Uzvišeni Allah daje ljudima?Kako ljudi trebaju koristiti te blagodati? . Šta će se desiti s onim  ljudima koji zloupotrebljavaju Božije blagodati? Iz sure El-Ma'un izdvoji blagodati koje čovjek ne koristi na Pravome putu.Ljubav prema pravednosti pohvalna je osobina. Uzvišeni Allah je u čovjeku usadio osjećaj za pravdu i pravednost.  
V10;ZS-103-b;Objasni kako se zalažeš za pravdu. 2. Napravi listu svojih pravednih postupaka. 3.S obzirom da redovno radim zadaću danas se mogu odmarati.
V10;ZS-103-c;Napravi tabelu sa dvije kolone (pravilno - nepravilno) u kojima ćete iskazati na koji način bi se mogle koristiti sljedeće Božije blagodati: znanje, sluh, vid, govor, imetak, voda, priroda.
V10;ZS-105-a;Na koji način se možeš obraćati Bogu? Kome svoje molitve upućuju pripadnici drugih religija?Pronađi zajedničke elemente u molitvama monoteističkih religija! 
V10;ZS-105-b;Šta molitva predstavlja za čovjekš? Na koji način jevreji obavljaju molltve? Kako kršćani obavljaju svoje molitve?Na koji se način muslimani obraćaju Allahu dž.š? Navedi značaj vode u svim religijama? Koje su pouke hadisa o Fatihi?  
V10;ZS-106-c;Kutak za razgovor:Kako pjesnik doživljava molitvu?Izdvoji pjesničku sliku u kojoj se spominje molitva kao obavezi? Kako pjesnik podstiče djecu da obavljaju namaz zajedno sa svojim roditeljima? Potkrijepi to stihovima. 
V10;ZS-106-d;Zbog čega je dova važan dio naše svakodnevnice?Šta je zajedničko svim religijama? Zašto je džemat važan u Islamu? Koliko je namaz obavljen u džematu vrjedniji od namaza obavljenog pojedinačno?  Kakva je nagrada obećana za namaz obavljen u džematu? 
V10;ZS-106-e;"Razgovarajte sa drugom Ili drugaricom drugih vjeroispovijestl o tome kako oni doživljavaju svoju molitvu i napišite razgovor u obliku intervjua!2. Napišite rad na temu: ""Moj namaz"". 3. Sljedeću tabelu nacrtajte u svesku i izdvojite zajedničko u molitvi kod svih religija."
V10;ZS-108;Kako nas u Kur'anu Allah, dž.š., poziva da mu se obraćamo! U kojim prilikama se čovjek treba obraćati svome Gospodaru?Jesu li nam potrebne posebne pripreme da bismo se obratili Ailahu, dž.š.? Zašto? Na koje načine se možemo obraćati Ailahu, dž.š.? Navedite vrijednosti namaza.Koja je razlika Između tevbe i dove? Šta je Muhammed, a.s., molio AIlaha, dž.š., u svim prilikama? 
